sponsor_name,total_rows,matched_rows,repriced_rows,churn_rows,repricing_share_of_matched,churn_share_of_total,segment
BCBS OF ALABAMA & UTIC INSURANCE COMPANY,19668,18042,17870,1626,0.990467,0.082672,repricing_dominant
"ARKANSAS SUPERIOR SELECT, INC.",19566,18030,17382,1536,0.96406,0.078504,repricing_dominant
"HAMASPIK, INC.",18204,17344,16874,860,0.972901,0.047242,repricing_dominant
SOUTH COUNTRY HEALTH ALLIANCE,15292,14316,14184,976,0.99078,0.063824,repricing_dominant
"HUMANA REGIONAL HEALTH PLAN, INC.",14100,12740,12378,1360,0.971586,0.096454,repricing_dominant
PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,13324,12556,11888,768,0.946798,0.05764,repricing_dominant
"UPMC HEALTH COVERAGE, INC.",12330,10422,10175,1908,0.9763,0.154745,repricing_dominant
"HEALTH PLAN OF CAREOREGON, INC.",11919,11139,11124,780,0.998653,0.065442,repricing_dominant
AMERIHEALTH CARITAS FLORIDA INC,11544,10764,10189,780,0.946581,0.067568,repricing_dominant
SAN MATEO HEALTH COMMISSION,11472,10795,10341,677,0.957943,0.059013,repricing_dominant
AETNA BETTER HEALTH INC. (NJ),11400,10641,9741,759,0.915421,0.066579,repricing_dominant
AETNA HEALTH INC.(GA),11400,10641,9659,759,0.907715,0.066579,repricing_dominant
AETNA HEALTH OF IOWA INC.,11400,10641,9993,759,0.939103,0.066579,repricing_dominant
BLUE CROSS AND BLUE SHIELD OF NC SENIOR HEALTH,11067,10239,10163,828,0.992577,0.074817,repricing_dominant
HMO Minnesota,11046,10257,10130,789,0.987618,0.071429,repricing_dominant
"GHS HEALTH MAINTENANCE ORGANIZATION, INC.",11043,10257,10188,786,0.993273,0.071176,repricing_dominant
ILLINOIS BLUE CROSS BLUE SHIELD INSURANCE COMPANY,11043,10257,10157,786,0.990251,0.071176,repricing_dominant
"LONGEVITY HEALTH PLAN OF COLORADO, INC.",10893,10056,9836,837,0.978123,0.076838,repricing_dominant
